generation, input, state, input_feasible, input_infeasible, state_feasible, state_infeasible
314,1352,1445,1444,648,3333,
315,1426,1463,1907,1685,1425,
315,1648,1444,1815,630,1389,
315,2018,1407,1778,666,1667,
296,1870,1648,1518,685,1667,
315,1815,3333,1963,1723,1426,
315,2611,1425,1426,1166,1500,
315,1889,1389,1629,2556,1722,
315,2019,1667,1926,2593,1407,
315,2556,1667,1611,2445,1667,
315,1407,1426,1389,667,1649,
315,1500,1500,1648,667,2463,
314,1611,1722,1648,630,1463,
296,1481,1407,2018,630,1407,
296,1481,1667,2148,630,2444,
297,2593,1649,1926,6741,1611,
315,2074,2463,1741,667,1667,
296,1462,1463,1666,1129,1667,
314,1167,1407,1685,2574,1629,
315,1759,2444,1648,648,1649,
315,1519,1611,1685,1649,1389,
296,1315,1667,1667,649,1463,
296,2500,1667,1408,630,1426,
315,1630,1629,1852,1148,1388,
315,666,1649,1463,666,1686,
297,1722,1389,2000,667,1648,
315,630,1463,1426,630,1408,
315,1463,1426,1648,686,1463,
297,1778,1388,1833,611,1815,
296,1963,1686,1796,611,1667,
297,1833,1648,1815,611,1630,
315,1556,1408,1778,1130,1463,
315,1166,1463,1962,611,1630,
315,629,1815,1833,648,1629,
297,2537,1667,1463,648,1389,
315,2445,1630,1500,1093,1407,
314,648,1463,1852,666,1667,
315,1593,1630,1871,629,1444,
315,1852,1629,1759,611,1648,
315,1648,1389,1630,1148,1408,
296,629,1407,1481,648,1722,
296,1685,1667,1482,2537,1667,
315,611,1444,1537,2463,1445,
296,1037,1648,1963,1185,1537,
315,1649,1408,1407,611,1666,
314,1648,1722,1444,648,1648,
315,1667,1667,2185,1111,1463,
315,1463,1445,1703,1167,1463,
315,1463,1537,1463,611,4777,
315,1426,1666,1630,667,1778,
296,611,1648,1463,2593,1426,
296,648,612,1445,1666,1444,
297,1796,1463,1593,611,2722,
315,1445,1463,1815,1167,2630,
315,1445,4777,2037,2574,1740,
296,1481,1778,1889,1111,1426,
315,2981,1426,1426,1667,1630,
314,1482,1444,1722,2703,1574,
315,1814,2722,1796,648,1426,
296,1851,2630,1592,629,1389,
296,1630,1740,1759,2500,1648,
296,1704,1426,1834,7778,1444,
314,1462,1630,1852,667,1648,
315,1500,1574,1444,648,1575,
297,1704,1426,1982,612,3556,
296,1963,1389,1741,648,1574,
296,1759,1648,2075,666,1648,
296,1444,1444,1778,1685,1389,
315,1907,1648,1537,1777,1630,
297,1815,1575,1889,667,1463,
314,1778,3556,1703,630,1408,
315,1518,1574,1944,2593,1463,
314,667,1648,2000,648,1648,
315,1963,1389,1797,667,3426,
315,1426,1630,1592,1167,1426,
315,1629,1463,1777,629,1667,
315,1926,1408,1556,2518,1481,
315,1611,1463,1741,1722,1889,
315,1389,1648,1500,2463,1463,
315,1648,3426,1463,667,1722,
315,1648,1426,1945,648,1648,
315,2018,1667,1889,1760,1629,
315,2148,1481,1648,648,1426,
315,1926,1889,1685,667,1630,
297,1741,1463,1834,629,1611,
315,1666,1722,1944,648,1648,
314,1685,1648,1815,648,1444,
315,1648,1629,1760,,1463,
297,685,1426,1463,,1426,
315,1685,1630,1685,,1630,
297,1667,1611,1759,,1648,
296,1408,1648,1685,,1426,
296,1852,1444,1445,,1555,
315,1463,1463,1667,,1648,
315,2000,1426,1741,,1426,
315,1426,1630,1815,,4685,
296,2500,1648,1555,,1444,
296,1648,1426,1408,,1667,
296,1833,1555,1463,,1648,
296,2611,1648,1388,,4759,
297,1796,1426,1907,,1445,
296,1815,4685,1482,,1666,
315,1778,1444,1778,,1463,
296,1962,1667,1759,,1685,
297,1833,1648,1463,,1630,
315,1463,4759,1463,,1445,
314,1500,1445,1796,,2667,
315,685,1666,1926,,1426,
315,611,1463,2074,,1444,
296,1852,1685,1759,,1611,
314,1871,1630,1871,,3278,
314,1759,1445,1481,,1426,
315,1630,2667,1741,,1648,
314,630,1426,1648,,1649,
315,667,1444,1426,,1426,
315,1481,1611,1463,,1371,
315,1482,3278,1630,,1444,
296,1537,1426,1870,,1463,
296,1963,444,1685,,1648,
314,1407,1648,1482,,1351,
314,1444,1649,1611,,1648,
315,1222,1426,1648,,1408,
315,2185,1371,1500,,1426,
315,1703,1444,1630,,1482,
314,1463,1667,1574,,1667,
297,685,1463,1704,,1463,
315,1630,1648,1852,,1426,
297,1463,1351,1926,,1648,
315,1445,1648,1481,,1574,
315,1593,1408,1945,,1444,
315,1815,1426,1481,,1426,
315,2037,1482,1630,,1370,
315,1889,1667,1574,,1648,
297,1685,1463,1574,,1426,
314,1426,1426,1945,,1648,
314,1722,1648,1556,,1463,
315,1796,1574,1759,,1407,
315,1592,1444,1500,,1426,
315,685,1426,1759,,1408,
296,1759,1370,1518,,1407,
296,649,1648,2056,,1648,
297,1834,1426,1629,,1426,
297,1852,1648,1778,,1444,
315,629,1463,1463,,1370,
296,1444,1407,1538,,1574,
315,630,1426,1481,,4445,
315,1982,1408,1963,,1408,
315,1741,1407,1815,,1408,
296,1314,1648,1759,,1426,
296,2463,1426,1778,,1612,
315,2537,1444,1537,,1444,
296,2075,1370,1963,,1425,
314,1778,1574,1648,,1371,
315,1537,4445,1704,,1444,
315,1889,1408,1445,,1426,
315,648,1408,1648,,1426,
315,648,1426,1555,,1778,
315,1703,1612,1667,,2722,
315,1944,1444,1760,,3648,
296,2000,1425,1482,,1426,
315,1797,1371,1574,,1667,
296,1592,1444,1667,,1630,
296,2444,1426,1519,,1611,
315,1777,1426,1741,,1407,
315,1556,1778,1482,,1425,
296,704,2722,1926,,1426,
297,1741,3648,1796,,1537,
315,1500,1426,1722,,1444,
315,2926,1667,1834,,1426,
297,630,1630,1852,,1426,
297,1463,2722,1630,,1426,
296,1945,1611,1648,,1425,
296,1889,1407,1686,,1445,
297,1167,1425,1907,,2333,
314,1686,1426,1629,,1666,
297,1648,1537,1963,,3278,
315,1685,1444,1703,,1463,
314,1834,1426,1870,,1648,
315,667,1426,1759,,1796,
296,1944,1426,1981,,3833,
315,1815,1425,1408,,1629,
315,1760,1445,1870,,1444,
315,1463,2333,1833,,1666,
314,1185,1666,1667,,1426,
296,1685,3278,1740,,1445,
297,2482,1463,1500,,1408,
296,1759,1648,1463,,1408,
297,1685,1796,1741,,1463,
315,1445,3833,1760,,1444,
315,667,1629,1703,,2426,
315,685,1444,1463,,1667,
296,1667,1666,1760,,1630,
315,1741,1426,1482,,1648,
314,1815,1445,1648,,1445,
315,1555,1408,1815,,1648,
315,1408,1408,1444,,1463,
315,611,1463,1852,,1444,
315,629,1444,1481,,8537,
296,1166,2426,1704,,1445,
296,1463,1667,1500,,1426,
315,1388,1630,1555,,7611,
297,1907,1648,1629,,2481,
297,1167,1445,1759,,1666,
315,1482,1648,1518,,1444,
314,1778,1463,1482,,1389,
315,1759,1444,1389,,1629,
296,1463,8537,1518,,1481,
315,1463,1445,1833,,1463,
315,667,1426,1833,,1426,
315,1796,7611,1629,,1685,
315,1926,2481,1685,,1333,
315,1185,1666,1944,,1444,
315,648,1444,1815,,1667,
315,2074,1389,1445,,1426,
297,1759,1629,1630,,1648,
315,1185,1481,1667,,1370,
296,611,1463,1741,,1463,
297,1871,1426,1759,,1407,
315,1481,1685,1759,,1445,
297,1741,1333,1463,,2352,
315,1648,1444,1741,,1426,
314,1426,1667,1426,,1630,
315,1463,1426,1852,,1648,
314,686,1648,2018,,1445,
296,1630,1370,1815,,1648,
315,666,1463,1648,,1759,
315,1870,1407,1482,,1648,
296,1685,1445,1630,,1630,
296,1482,2352,1908,,1444,
315,648,1426,1593,,1630,
296,1611,1630,1796,,2389,
315,1648,1648,1815,,1425,
296,1500,1445,1445,,2611,
315,1630,1648,1463,,1463,
315,1574,1759,1833,,1722,
315,1704,1648,1556,,1648,
297,1852,1630,1648,,1426,
296,666,1444,1481,,2500,
314,1926,1630,1963,,1648,
314,1481,2389,1482,,3445,
314,2648,1425,1666,,1445,
314,1945,2611,1593,,1426,
296,1481,1463,1759,,1445,
315,1630,1722,1796,,1426,
315,1722,1648,1889,,1444,
315,1722,1426,1815,,1648,
315,1574,2500,1408,,1463,
296,1149,1648,1426,,1648,
315,1574,3445,1945,,1463,
315,1945,1445,2037,,1426,
297,1556,1426,1482,,1370,
315,1759,1445,1722,,1426,
296,1500,1426,1426,,1370,
296,1759,1444,1630,,1425,
314,1518,1648,1722,,1426,
296,2463,1463,1723,,1593,
296,629,1648,1592,,1556,
315,2056,1463,1630,,1444,
315,1629,1426,1463,,1648,
296,1778,1370,1851,,1370,
296,629,1426,1463,,1593,
315,1463,1370,1389,,1648,
296,1538,1425,1741,,1630,
296,1481,1426,1851,,1462,
296,1963,1593,3222,,1444,
315,1815,1556,1778,,1426,
315,1759,1444,1463,,1649,
315,648,1648,1574,,1444,
315,1778,1370,1685,,1648,
296,1537,1593,1426,,1445,
315,2593,1648,1759,,2648,
315,667,1630,1685,,1463,
315,1963,1462,1778,,1463,
314,667,1444,1834,,1649,
296,648,1426,1481,,1648,
296,648,1649,1463,,1666,
